eid,doi,title,publication_name,cover_date,citedby_count,open_access,downloaded
2-s2.0-0037147043,10.1016/S0013-4686(02)00686-2,Voltammetric characterization of an iridium oxide-based system: The pseudocapacitive nature of the Ir0.3Mn0.7O2 electrode,Electrochimica Acta,2002-12-20,117,0,0
2-s2.0-0037069648,10.1021/jp026228l,Local atomic structure and conduction mechanism of nanocrystalline hydrous RuO2 from X-ray scattering,Journal of Physical Chemistry B,2002-12-12,302,0,0
2-s2.0-0942294764,10.1080/10587250290113574,Synergy of components in supercapacitors based on nanotube/polypyrrole composites,Molecular Crystals and Liquid Crystals Science and Technology Section A Molecular Crystals and Liquid Crystals,2002-12-01,17,0,0
2-s2.0-0036901321,10.1016/S0167-2738(02)00390-9,Polypyrrole and poly(3-methyl thiophene)-based solid state redox supercapacitors using ion conducting polymer electrolyte,Solid State Ionics,2002-12-01,75,0,0
2-s2.0-0347067952,,Supercapacitor characteristics of CO(OH)2 synthesized by deposition transformation,Chinese Journal of Inorganic Chemistry,2002-12-01,21,0,0
2-s2.0-11144248438,10.1080/10587250290113925,Obtaining of activated carbon materials for supercapacitors,Molecular Crystals and Liquid Crystals Science and Technology Section A Molecular Crystals and Liquid Crystals,2002-12-01,1,0,0
2-s2.0-0036903584,10.1016/S0167-2738(02)00386-7,Redox supercapacitor using polyaniline doped with Li salt as electrode,Solid State Ionics,2002-12-01,117,0,0
2-s2.0-0036899883,10.1149/1.1516910,Electrochemical studies of polyaniline in a gel polymer electrolyte: High energy and high power characteristics of a solid-state redox supercapacitor,Electrochemical and Solid State Letters,2002-12-01,94,0,0
2-s2.0-0036901454,10.1016/S0167-2738(02)00383-1,Amorphous V2O5/carbon composites as electrochemical supercapacitor electrodes,Solid State Ionics,2002-12-01,184,0,0
2-s2.0-0036954274,10.1109/IECON.2002.1185462,"Modelling, control and simulation of a fuel cell based power supply system with energy management",IECON Proceedings Industrial Electronics Conference,2002-12-01,36,0,0
2-s2.0-0036905269,10.1016/S0167-2738(02)00384-3,The application of solid state ionic technology for novel methods of energy generation and supply,Solid State Ionics,2002-12-01,9,0,0
2-s2.0-0038339384,,Ultracapacitors for use in power quality and distributed resource applications,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2002-12-01,54,0,0
2-s2.0-0347648053,,Mesoporous Nickel/Nickel Oxide Electrodes for High Power Applications,Journal of New Materials for Electrochemical Systems,2002-12-01,14,0,0
2-s2.0-0038001425,,Large-scale electricity storage technologies for energy management,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,2002-12-01,45,0,0
2-s2.0-0036404996,10.1016/S0008-6223(02)00243-9,Carbon aerogels derived from cresol-resorcinol-formaldehyde for supercapacitors,Carbon,2002-11-17,204,0,0
2-s2.0-0037079091,10.1016/S0378-7753(02)00419-6,"Fabrication and evaluation of 450 F electrochemical redox supercapacitors using inexpensive and high-performance, polyaniline coated, stainless-steel electrodes",Journal of Power Sources,2002-11-14,166,0,0
2-s2.0-0037079161,10.1016/S0378-7753(02)00397-X,Cyclic voltammetric deposition of hydrous ruthenium oxide for electrochemical supercapacitors: Effects of the chloride precursor transformation,Journal of Power Sources,2002-11-14,58,0,0
2-s2.0-0036874391,10.1109/TIA.2002.804762,Modeling the dynamic behavior of supercapacitors using impedance spectroscopy,IEEE Transactions on Industry Applications,2002-11-01,352,0,0
2-s2.0-0036864570,10.1149/1.1509458,"Potentiodynamically deposited polyaniline on stainless steel: Inexpensive, high-performance electrodes for electrochemical supercapacitors",Journal of the Electrochemical Society,2002-11-01,90,0,0
2-s2.0-0001192839,10.1021/nl025753t,Hierarchical ZnO Nanostructures,Nano Letters,2002-11-01,913,0,0
2-s2.0-0036881189,,Carbon based double-layer capacitor and composite power source,Wuji Cailiao Xuebao Journal of Inorganic Materials,2002-11-01,7,0,0
2-s2.0-0036858719,10.1016/S0167-2738(02)00729-4,Characterization of vanadium oxide sol as a starting material for high rate intercalation cathodes,Solid State Ionics,2002-11-01,88,0,0
2-s2.0-0037168024,10.1016/S0378-7753(02)00364-6,Comparison of commercial supercapacitors and high-power lithium-ion batteries for power-assist applications in hybrid electric vehicles: I. Initial characterization,Journal of Power Sources,2002-10-24,366,0,0
2-s2.0-0036806360,10.1149/1.1506301,An all-solid-state electrochemical supercapacitor based on Poly3-(4-fluorophenylthiophene) composite electrodes,Journal of the Electrochemical Society,2002-10-01,27,0,0
